Tweet ID	Tweet	(1) Very Negative	(2) Negative	(3) Neutral	(4) Positive	(5) Strongly Positive	NA	Score (unrounded)	Score (rounded)
939247123710795776	And Yet Another Departs The IQ45, Already:: Dina Powell, deputy national security adviser, to depart Trump White <URL>	0	2	5	0	0	0	3	3
900225931700297728	it's a feeling realizing one of your best friends is actually a friend :/ i trusted u again man	0	4	1	1	1	0	2	2
304980964331905024	Since when did we have to wear skirts &amp; bikinis to sell food! Do you really think they will buy more food if my is hanging out! Ugh!	2	4	1	0	0	0	2	2
835321650937806849	I liked a <USER> video <URL> Policeman	0	0	3	4	0	0	4	4
589254204297977856	Meredith	0	0	6	0	0	1	3	3
321800085308571648	<USER> mind	0	0	6	0	0	1	3	3
606268487196123136	Being so much of an with your team down four runs that you cause the benches to clear #totalcubsmove	0	2	3	2	0	0	3.0	3
507771693851373568	<USER> omg there's so much just in this little snippet, MY BRAIN ASPLODE.	0	1	1	4	0	1	4	4
856885124838850561	time to get my together	0	1	3	2	0	0	3.1666666666666665	3
699424339695902720	to the yes <USER> #GRAMMYs	0	0	2	5	0	0	4	4
733024829268463617	<USER> <USER> Don't even know what to say except Special Place In	1	2	2	1	0	0	2.5	3
6258505266	Do you have Frugal Fatigue, created by Outcalt? Grinchless in Seattle is my latest Seattle Business article. <URL>	0	0	6	1	0	0	3	3
494659815012986881	Looks like this week's Main Episode is stuck in YouTube processing	0	5	2	0	0	0	2	2
625234481281110016	off wanker.	2	5	1	0	0	0	2	2
513832258734915584	<USER> I look forward to watching you race. BAD So #ThankU	0	0	0	5	2	1	4	4
151773664185028608	<USER> thanks I don't think dopey and head would appreciate something so nice	0	3	2	3	0	0	3.0	3
3695189386	<USER> only ONE grab? id be doing it all day!	0	2	3	3	0	0	3.125	3
861737933631520768	<USER> this is also true. i shouldnt pick a fight bc honestly i eat like frozen pizza and subway is like... <URL>	0	1	4	3	0	0	3	3
874730306439442432	I added a video to a <USER> playlist <URL> Fergie - London Bridge (oh HQ	0	0	7	0	1	0	3	3
936468864136708096	okay, i need to come out about this even tho lots have said this already but I need to let it out...... I c... <URL>	0	4	1	2	0	1	2	2
210135368958357504	<USER> I think you mean SEXY FIERCE	0	0	1	7	0	0	4	4
118371405971730433	So I felt like the biggest u_u	2	5	1	0	0	0	2	2
311298031716818944	10 pieces of no advice for entrepreneurs: <URL>	0	3	5	0	0	0	3	3
623304366007709696	What the is wrong with America?? Who in their right mind would send Moises home?? #SYTYCD	1	6	1	0	0	0	2	2
610536164248956928	WHAT THE IS THAT RAP THOUGH	0	2	6	0	0	0	3	3
669771959404728320	Sneak peek of a contribution I'm doing for a kick project! #wip #workinprogress #ziggystardust #davidbowie... <URL>	0	0	4	3	1	0	3	3
565919769044746240	<USER> <USER> that is some cool	0	0	0	8	0	0	4	4
732217753281662976	So I'm missing work like I could have a sinus infection and STILL do everything I can to work like why do I have an old lady body	0	7	1	0	0	0	2	2
747086589373857792	What can I do, I'm going through getting over you. But it don't hurt, it don't hurt like it used to.	1	4	3	0	0	0	2	2
576584096446578688	JUST FOUND OUT MY STEP DAD IS MEETING LIL BOOSIE ON SUNDAY AND IM NOT GONNA BE THERE AND IM	0	4	3	1	0	0	2	2
197509521810276353	My RA: 'I know its not quiet hours but people are complaining.' PEOPLE!	1	5	2	0	0	0	2	2
102418926473969664	are always worried about the other girl... worry about your man. cuz clearyyy he got you insecure.	0	7	1	0	0	0	2	2
169086002923700224	To the dude biting his nails while he's taking a #ThatsGross	2	5	0	0	0	0	2	2
582304658829524992	<USER> the other day I was asked to explain the law of averages to my class. Luckily I had that pic you sent! #tfln	0	0	0	7	0	0	4	4
394282546735116288	O'Halloran never liked Preds. Just told Hendricks to Off on jumbotron. Reverse that and player gets tossed. Official get nada. <USER>	0	5	2	0	0	0	2	2
405075565746851840	I never thought my dad hula hooping would be so funny!	0	0	0	5	2	0	4	4
211705894726148097	Still in shock. Hope Pacquiao says corrupt boxing' and retires. Boxing is dead. #PacBradley	1	5	1	0	0	0	2	2
287699993463230464	is officially the dumbest movie I have ever seen. It's even worse than Napoleon Dynamite ... That's hard to do	4	3	0	0	0	0	1	1
561763585777733632	<USER> <USER> and I thought my punny hashtag was good...	0	0	3	4	0	0	4	4
557788039414837249	<USER> you serious? Pick my up	0	1	3	1	0	0	3.0	3
718237492533686272	<USER> not your business or affair grow up and quit staetig porsha should whoop yo again cause she on a talk show dumb	3	5	0	0	0	0	2	2
778781281735806976	The amount of times I've muttered, 'Oh, no...' #AHS6	0	2	6	0	0	0	3	3
901728822860685312	<USER> <USER> <USER> I think you say because you really have nothing to say at all..like this.G... <URL>	1	6	1	0	0	0	2	2
807083881069420544	<USER> eggplant what the	0	2	6	0	0	0	3	3
919891502544904193	Losing 1-0 in the last 12 seconds sucks	2	6	0	0	0	0	2	2
208642577954648064	The majority doesn't always rule! I am only into the One True God, and He is Jesus! To try to tell me ne thing else is straight out of	0	3	2	2	1	0	3.125	3
564523942719680512	<USER> <USER> Losing only makes you want to win THAT MUCH MORE! <USER> will be experienced &amp; hungry as next season!	0	1	0	6	1	0	4	4
917389830476173312	im just tryna eat a granola bar in my car before class but this shit's crumbling everywhere i feel like im in a avalanche jfc	1	3	3	1	0	0	2.5	3
468549718965256193	<USER> where my soda?!!	0	1	7	0	0	0	3	3
376355790174420993	<USER> she really has no reason to lie and come out now! The trial is over! Put the guns away and fight with ur hands	1	6	0	0	0	0	2	2
379419160864112640	<USER> on a leash..#bitch	0	7	0	0	0	0	2	2
230480077652115459	<USER> I just like being an	0	1	4	1	0	1	3	3
673656862252773377	<USER> would have thought someone would have grabbed it right up	0	1	4	2	0	0	3	3
846163997086777344	<USER> She wasn't quite as annoying, but I still can't stand her or that tired wig #RHOA	0	6	1	0	0	0	2	2
866421226863968256	<USER> <USER> <USER> <USER> <USER> <USER> <USER> <USER> Bruh really I'm 17	0	1	4	1	0	1	3	3
917843695868682241	<USER> Bish wtf	0	7	0	0	0	0	2	2
789856738627510272	off Burnley..this is like watching FIFA 17. Sit back and hope for a counter.	0	2	2	3	0	0	3.142857142857143	3
922757219569020928	<USER> I hope not #ewwww	2	4	1	0	0	0	2	2
551085579807776768	<USER> we're driving through TN and stopped at a Barrel for breakfast ud83dude02ud83dude02	0	0	6	2	0	0	3	3
603243787951943680	Bad here, bad there, bad everywhere #BBLU3PoolParty	1	6	1	0	0	0	2	2
868830151051591681	I think they him off! <URL>	3	2	2	0	0	0	1.8571428571428572	2
235932442911993856	<USER> haha grapes I hate when they're dry .	0	7	1	0	0	0	2	2
388676963914633216	Wow: Hear <USER> powerfully explain how shaming becomes victim blaming (via <USER> <URL>	0	4	4	0	0	0	2	2
59765331832479744	<USER> 1st time really listening to Wiz (aside from B & Y), he's pretty good	0	0	0	8	0	0	4	4
20040183162	<USER> thats what we've been called.nigga means the same to us as would mean to you.	0	4	4	0	0	0	2	2
459336461922607104	<USER> You, my friend, are a living, breathing, piece of (drops mic)	0	7	1	0	0	0	2	2
345311887090671616	Not a thing on tv tonight. I won't be watching NBA finals. Hockey was hot last night. 5+hrs game! Go Hawks. Maybe a movie 2n	0	2	3	3	0	0	3.125	3
511487555963858945	You know I am going thru right now in pain losing the ability to use my left arm, not a day goes by that I... <URL>	1	7	0	0	0	0	2	2
15449458359	<USER> I didn't get that from at all. Do u not like her? She was pretty tame compared to prostitution (which was great btw!!)	0	1	2	5	0	0	4	4
846957162236653569	I try not to get mad at the little stuff but he most definitely just me off.	1	6	1	0	0	0	2	2
857793140035649537	Not gonna lie, Jabrill Peppers going #25 to Cleveland is bittersweet ... He's a 1st Rd Pick, but ... It's the #Browns [?][?] #GoBlue!	0	1	2	5	0	0	4	4
827907545079627777	<USER> I mean I knew someone was gonna die but geez didn't think you were that bent on breaking all hearts #VampireDiaries	0	7	0	1	0	0	2	2
637087982147776512	My mom is cause I'm rolling around on my carpet in defeat instead of packing my for school. -\_(tsu)_/-	0	5	2	1	0	0	2	2
637271718025928708	#NEW 'Get ready for one of a fast paced crazy ride' #Wrath <USER> <USER> <URL> <URL>	0	1	2	5	0	0	4	4
299604305827229696	<USER> I'm hungry...where to lunch?' <USER> currently on Dickinson, just off Passyunk	0	0	8	0	0	0	3	3
906925105317543936	i love the power mv because everyone's like oh we're gonna die and jongdae is just there like :3c	0	1	0	7	0	0	4	4
500139133088854016	I dislike when girls exaggerate the way they walk to make their look good	0	8	0	0	0	0	2	2
332369740322443264	Jodi arias is such a fame she just got covicted for murder and then go straight for the camera no remorse she def deserve to fry	3	4	1	0	0	0	2	2
526580329734103041	<USER> this me up <URL> omg	0	2	1	2	0	0	3.0	3
372215327826124801	Some came in my yard the foot steps led to my ashtray lookin for some of my clips huh	0	5	2	0	0	0	2	2
600482342214336513	Ding dong, the is gone! #TeamViolet #TeamVioletChachki	0	2	1	4	0	0	4	4
372183545420464128	<USER> <USER> <USER> I agree...Aleks should have backed her up. Kind of a move if you ask me! #BelowDeck	0	4	2	1	0	0	2	2
146497200921391104	karma is a	0	3	2	1	0	0	2.6666666666666665	3
218178497208782848	'you could be preoccupied different every night' Hahahaha <USER> YOU LEGEND! #bestnightever	0	0	1	2	4	0	5	5
2577792905	<USER> What the Lol ~Renee	0	1	4	2	0	0	3	3
482565622002241537	The truth may set u free/,but first it's gonna me off	0	5	1	0	0	1	2	2
206606268419407872	#DeadmanWonderland is some scary ! omg	0	0	2	4	1	0	4	4
283198476580425728	<USER> do we look good or what! #sexyandweknowit	0	0	1	3	4	0	5	5
912006478835470337	Once again <USER> has shown an #unpresidented ability to off many sides.	0	3	2	2	0	0	2.857142857142857	3
899782384241049604	<USER> <USER> Jersey resting face	0	2	6	0	0	0	3	3
712285837975748610	it, say yeah	0	0	5	2	0	1	3	3
885637919792353288	<USER> Sins of Empire is good.Been listening on my commute! I got to it before my Son did!	0	0	1	4	3	0	4	4
930225884891578368	Guys. What is with all the blurry pictures on Tinder? I'm not a selfie fan, but COME ON. If it's going to tak... <URL>	0	7	1	0	0	0	2	2
659114922299650048	<USER> <USER> <USER> <USER> yea. Boss	0	0	4	4	0	0	3	3
862544250600337408	Insomnia is a	0	3	5	0	0	0	3	3
467840016170119169	Some kick gold #lespaul guitars and bass <USER> at <USER> <URL>	0	0	2	6	0	0	4	4
421481055820840960	Seriously considering begging <USER> to come play my wedding. Not like a cheesey wedding reception, but an kicking rock show!	0	0	1	2	5	0	5	5
634789002613125120	<USER> What the am I looking at?	0	4	4	0	0	0	2	2
741487413944586240	<USER> that's why I don't give a what people say...ill cut a	1	6	1	0	0	0	2	2
917894377686609920	my mom gets at me when i don't get dismissed at 2:20 with the middle schoolers??? girl, i'm in class???	1	5	2	0	0	0	2	2
832762537221304322	<USER> nah brah... I'm on that 'tater soft taco	0	1	3	4	0	0	4	4
550544687765782528	2015 is just gonna be another year of falling more in love with these fools <USER>	0	4	1	3	0	0	2	2
734584571002560513	<USER> YOU BETTER	0	1	5	2	0	0	3	3
412266791252279296	Bonding at Barrel <URL>	0	0	4	3	0	1	3	3
940314339071885314	!!!!OH YEAH IT'S HERE!!! Treating it delicately and with care <USER> <USER> <USER> <URL>	0	0	0	2	6	0	5	5
291294478172557312	<USER> listening to that weak music who cares	0	7	1	0	0	0	2	2
934873975263506434	<USER> But he doesnt molest girls, Your groping president wont grope you. Are thy jealous from lack of h... <URL>	1	4	3	0	0	0	2	2
426918313848229888	Being off is better than being on	0	0	2	6	0	0	4	4
922240121822433280	Racist NFL Kneelers Didnt Know What's On Every Single One Of Their Helmets - Now They're <URL> via <USER>	1	6	1	0	0	0	2	2
800568946671947778	Professor: The Purdue Owl Website will assist you greatly in your writing! Purdue Owl Website: *is	0	0	1	5	2	0	4	4
359170173858611200	<USER> <USER> <USER> buy her another pie love pie #applesbetter	0	0	1	7	0	0	4	4
741010374225367040	hath no fury like a 3year old that can't find her frozen shoe! #tantrum #frozen	0	6	2	0	0	0	2	2
824357420096954368	<USER> <USER> the you say. Julia all the way.	0	1	3	3	0	0	3.2857142857142856	3
545850418589597696	why does cnn give more of a about a stupid movie than kids dying	1	6	0	0	0	1	2	2
934560537781813249	<USER> <USER> Two of my dogs are racist deadbeats. The third is a gender-fluid attention	0	7	0	1	0	0	2	2
584224419255488512	This hype as boa <URL>	0	2	5	1	0	0	3	3
702692235993706496	Moby <URL> <URL>	0	0	7	0	0	1	3	3
38641679934291968	Omg this has the ugliest nailz...they're like 10 inches long n each hand is a different color...nasty	3	5	0	0	0	0	2	2
941206123297853440	'Females are strong as <URL>	0	0	2	6	0	0	4	4
472480772214226944	<USER> holy nice job dude!	0	0	0	5	3	0	4	4
791474044419780609	<USER> more important than a game 3 start, what the happened to the Chive? Disappointing.	0	7	0	0	0	1	2	2
501000384609931265	Only female pitcher in Leagues history attended Mo'ne Davis' historic LLWS shutout <URL> via <USER>	0	0	2	5	0	1	4	4
849285106250399744	I&amp;#8217;m Sorry I Was Being So Crazy While You Were Treating Me Like <URL> via <USER>	0	2	3	1	0	0	2.8333333333333335	3
27909069318656000	How to mend a broken teenage daughter's heart?? UGH!!! And how many daughters are left....?? Too many. I'm	3	3	1	0	0	0	1.7142857142857142	2
856276398532677632	<USER> THIS. I JUST NEED THE WOLF AMONG US 2	0	1	4	1	1	0	3	3
915218454059380736	<USER> Mr. Jennings smoked the last remaining bastion of reverence for knowledge and learning in America, so......respect.	0	0	3	4	0	0	4	4
816264367650050048	Oh so good. That blood testing scene is tense as <URL>	1	1	0	5	0	0	4	4
6625547378	Come on sandman! Where the are you??	0	1	4	1	1	0	3	3
938473837968150528	<USER> This Jerusalem thing is literally going to get people killed and he doesn't give a	3	4	0	0	0	0	2	2
930630541233328130	those fanchants holy <URL>	0	2	4	1	0	0	3	3
428965509770379264	twitter is acting like a 2day 4 me...grrrr is always fun 2 say :D	0	4	2	1	0	0	2	2
940646183046959105	<USER> I had a student write a great essay this semester that basically concluded kids hate that because... <URL>	0	0	5	2	0	0	3	3
272891204662878208	<USER> 'What?!' 'Oh good, you know your name'.' <USER> hahaha #bface #knowyourname	0	1	3	3	0	0	3.2857142857142856	3
659861801064988672	<USER> <USER> he sure as ain't taking the job for $1M less/yr either.	0	3	4	0	0	0	3	3
694863047484112896	Holy it's nice outside.	0	0	0	5	2	0	4	4
596101171619581953	<USER> u is a straight just run &amp; hide boy	0	3	4	0	0	0	3	3
617165008473038850	<USER> Thx for getting me in trouble w/your 'been thinking about you' gishmail! My husband wanted to know who the Misha was!	0	5	2	0	0	0	2	2
944084586883141632	we gotta wait til 2020 :/ <URL>	0	3	4	0	0	0	3	3
207830149876563971	I just dont understand how the you can just eat someone's face.. shit.is unreal	0	7	0	0	0	0	2	2
576363904374308864	<USER> I said I wanna see a how high 2, he said me too'	0	0	4	2	1	0	3	3
719001641005948928	<USER> out standing! Beautiful ride	0	0	1	1	6	0	5	5
665530639123357696	One powerful response to the terror in Paris... {words} and ::wonder: this is but we are heaven. <URL> #ParisAttacks	0	2	4	2	0	0	3	3
921467082839085056	<USER> i heard ur hands are small and also that u dont know about area 51	0	5	3	0	0	0	2	2
258380440531005440	<USER> #Debate #romneyforpresident Obama you are just off that you didn't think of it first	0	6	2	0	0	0	2	2
934598472124084225	<USER> Bull Fake news. X marks the #CHEMtrail spot. Ice, contrails don't last a friggin minute you... <URL>	1	6	1	0	0	0	2	2
701260397492494336	#Breaking: <USER> confirms shooting at Barrel in Oshtemo. He says may be connected to Meadow Townhomes shooting. <USER>	1	3	4	0	0	0	3	3
326477223571910656	Definitely digging Archer in his Father Sarducci getup. <URL>	0	0	1	7	0	0	4	4
420408578315268096	<USER> <USER> FDB!'. yesss!!	0	0	1	4	3	0	4	4
486608207180087296	Portugal put up a better fight against Germany	0	0	5	2	0	0	3	3
713907769485692930	<USER> go yourself.	1	2	4	0	0	0	3	3
875177767679250432	I still haven't recovered from the Black Panther teaser trailer. Hot	0	0	1	6	0	0	4	4
179666046112907265	<USER> yeah!	0	0	2	4	1	0	4	4
532238479594233856	can i get a yeah?! <URL>	0	0	3	4	0	0	4	4
438007559018934272	All these on my but I think I need more	0	0	6	1	0	0	3	3
144137815612076032	<USER> I'm sick.	0	7	0	0	0	0	2	2
725335202298511362	'Resting face' is real, scientists say - Good news, everyone! You can now wear your mildly discontented f... <URL>	0	2	4	1	0	0	3	3
453484839602499584	Life lessons 2048 has taught me: Even if you up, there is still hope for you.	0	0	3	3	1	0	3.7142857142857144	4
673643000787021825	<USER> here's an idea: off	0	2	5	0	0	0	3	3
541916261916360704	<USER> go yourself	0	2	3	1	0	0	3	3
428710303283810304	miley was stompin the outta them roaches huntee.	0	2	3	1	0	0	3	3
587456761952604160	He's on the ground DYING: 'I'm losing my breath' &amp; cop says your breath.' Disgusting. #blacklivesmatter #anp436 <URL>	4	2	0	0	0	0	1	1
270936105170382848	Alright! What starts counting calories 2 days before Thxgiving? This guy! So sick of feeling sluggish. #EasyOnTheStuffing	1	2	1	1	1	0	2.8333333333333335	3
704010013832904704	I'm a spiteful when you wake me up with	1	4	1	0	0	0	2	2
185097240451366913	Just the most day.	0	0	4	2	0	0	3	3
157556507356053504	I'm tweeting again	0	0	4	1	1	0	3	3
533075796328722434	<USER> <USER> <USER> HOOK NOSE JEW	3	1	1	0	0	1	1	1
501186738300403712	<USER> watching you some people up in #TheCemetery...ha!	0	2	2	2	0	0	3.0	3
638840612498862080	Why do I always end up sick when I have so much to get done?	0	6	2	0	0	0	2	2
619717103394889728	I wish it was that easy, would be happy everyday	0	2	5	1	0	0	3	3
896240911537111040	#ATLMansionPoolParty AUGUST 20TH RENTED A LIT MANSION - INDOOR &amp; OUTDOOR EVENT - FREE FOOD - OPEN BAR <URL> x2	0	0	5	2	1	0	3	3
829390899398529035	Eleven's back and her hair is #StrangerThings <USER> <URL>	0	2	3	2	0	0	3.0	3
152915262184759296	Why do people act like cuz the calendar year changes ..life starts over? Lol all the you did in 2011 will continue in 2012!	0	4	2	2	0	0	2	2
208577735239548928	staying in Alabama. Done with this	0	7	1	0	0	0	2	2
856923037290995712	<USER> Also if they're not space what do you call this <URL>	0	3	5	0	0	0	3	3
889223545301106690	My Cat From Heaven: Rosie the Cat and Lilo the Dog - My Cat From - <URL> #	0	2	4	2	0	0	3	3
563769925559255040	semester-long group projects for real.	0	4	3	1	0	0	2	2
552618847954415616	First day. Talking in Book of Mormon and a girl tells the teacher that Laman and Lemuel were 'such Mmk... <USER>	0	2	5	1	0	0	3	3
13623876885	Nice parking job, [target parking lot...with open spots around it] #fb <URL>	0	4	2	2	0	0	2	2
31194728598863872	<USER> What the do you want!?	1	5	2	0	0	0	2	2
871978153001967617	this Jeffries scene is always the best.	0	0	2	5	1	0	4	4
455059566271528960	My PS3 died. It freezes with the green LED turned on. No connection to the controller and no A/V signal. :(	0	8	0	0	0	0	2	2
111127418344972288	Overnight it went from hot and humid with shorts and a tank top to cold & freezing with sweats and a hoodie!! Whatz up with that?	0	5	3	0	0	0	2	2
927207137067126784	Criticism of cishet girls can be important, but I also worry about people taking advantage of it to be sexist/racist	0	5	3	0	0	0	2	2
666087559517356032	Oh no they didn't just do that to Daryl. No one touches his motorcycle. #walkingdead	0	0	4	1	0	0	3	3
524925592928391168	Santa Christmas Timer This quirky timer counts up to 60 minutes and says, when time is up. Wipe... <URL>	0	0	3	1	0	1	3	3
478703221960359937	<USER> I usually don't look at my timeline for fear of getting off lol	0	0	3	2	0	0	3	3
542592058859327488	<USER> So glad I was able to make it to see your Thank God for Jokes Tour tonight in Turlock. So hilarious! I laughed my off!	0	0	0	2	3	0	5	5
183614309643976704	I wish <USER> would stop calling me a total lesbian cause he's jealous of my friendship with <USER> #HattazGonnaHat	0	3	2	0	0	0	2	2
717539790652964864	Actually get to watch #NCIS but also know I'm gonna be sad all over again. 1 less new <USER> ep. you Weatherly! #loveyou	0	0	2	3	0	0	4	4
706586988338515969	<USER> His 'concern' is just clickbait. He knows nothing about Harry.	0	2	3	0	0	0	3	3
557009039566340098	In other news, human beings actually suck.	0	5	0	0	0	0	2	2
40259753414377472	<USER> well i up on that minecraft video'what is minecraft	0	0	5	0	0	0	3	3
618579590982815744	I was literally in the worst mood all day until I was w my baby now I'm back to a mood	0	2	1	2	0	0	3.0	3
862894836243873793	I understand her loneliness entirely and I think it's why I try so hard to keep people around. No matter how they treat me.	1	3	2	1	0	0	2.4285714285714284	3
683433309351751680	<USER> Listening to your music at full blast is making me feel better after a day!!!!!!!!! Neighbors can F*** it!!!!!!!!!!!!!!!	1	2	2	0	2	0	3.0	3
935650210121961472	<USER> if it's how he takes care of everything else we r all	0	1	5	1	0	0	3	3
5412583039	i want to cry and puke. im and im heartbroken that we'd take away rights like this. there's still hope but i'm worried for #votenoon1	4	3	0	0	0	0	1	1
389435972209102848	<USER> sad 4 some1 u care about 2 engage w/ a crazy person talking about u. U defended that person when that happened MONTHS ago	1	5	1	0	0	0	2	2
456694976122875904	<USER> I hate my iPhone Siri don't listen well I wanted to tell people about a new app and she put 'Ask me about my new on My FB	2	4	1	0	0	0	2	2
784595897606897665	Guy in haunted house: 'It's a long way to Me: 'Jesus is my Lord and Saviour, sir. I'm going to heaven.'	0	0	2	2	3	0	4.142857142857143	4
550310469383512066	Can someone please tell me what the an 'eno' is ?!!	0	1	5	1	0	0	3	3
286138929831366656	Happy 2013. Looks like I'm starting the new year out with a big hangover!	0	3	2	1	1	0	3.0	3
403664856349278208	<USER> omg, only in the usa is right! they put an innocent 17 yr old boy in prison for life but let a child molester free!	4	2	1	0	0	0	1	1
914550735748071424	lmao <USER> articles about 'tweeting about issues don't help! stupid millennials!' like he doesn't tweet all the time instead of helping	0	5	2	0	0	0	2	2
627583033017802753	Black interior + summer is a combination straight from	0	3	4	0	0	0	3	3
783399582268989440	Mike Pence Mocks Media Coverage of Trump: 'This Really Is Fun to Watch' - Breitbart <URL> via <USER>	0	3	2	2	0	0	2.857142857142857	3
829019728224145408	what the	0	3	2	0	0	0	2.4	2
836559692914651136	This is more ridiculous every day. <URL>	0	6	1	0	0	0	2	2
518946250461548544	#fiftyshades of up. <USER> #CharlieTango #RedRoomofPain	0	1	4	1	0	1	3	3
285271966758346752	quit talking out of your with that	0	4	2	0	0	1	2	2
442808688500166656	you !	1	1	3	1	0	0	2.6666666666666665	3
713165712026701825	Man I'M higher than a tree live my life like a g	0	0	2	5	1	0	4	4
345322790737559553	Holy titties batman	0	2	2	4	0	0	4	4
923726254867705856	47 needs to be kicked the out	0	8	0	0	0	0	2	2
622419878545264640	Temecula thunderstorm early in the morning and I woke up to it thinking it was a neighbor being an moving their trashcans back and forth	0	3	5	0	0	0	3	3
463001205938352128	<USER> <USER> Man Club Penguin is gonna be	0	1	6	0	0	1	3	3
351812885653110784	These are <USER> Five updated helmet designs debuted for the 2013 season! #rockchalk <URL>	0	0	5	3	0	0	3	3
425872737114923008	<USER> <USER> You should just be hired as a story consultant Wolf ...are you out there?	0	0	4	4	0	0	3	3
280468814934708224	Barrel | Pick It To Win It <URL>	0	0	5	3	0	0	3	3
862837160273219584	stfu no. I didn't survive through 13 seasons of in this hospital for this <URL>	0	8	0	0	0	0	2	2
499361508862996481	<USER> your just another who couldn't be happy with your one man! Be a doctor not a or maybe a tattoo artist not a	0	6	2	0	0	0	2	2
489625701335990272	Hahaha that was karma biting you in the	0	5	1	2	0	0	2	2
361839056637792257	real talk, i am depressed as to be leaving vb right now.	2	5	1	0	0	0	2	2
727188641538281472	And to think, in 5 short days the with the lighter is graduating from MSU with honors <USER> <URL>	0	0	2	4	2	0	4	4
420060227505905664	My house is making some scary noises right now.	0	7	1	0	0	0	2	2
271398208134082560	I favorited a <USER> video <URL> Asian kid being a FUNNY ending	0	0	3	4	1	0	4	4
425105086877298688	<USER> yes, he's free to chirp. We're free to call him a classless Not sure why you're pontificating here.	0	5	3	0	0	0	2	2
904106113876074499	<USER> yeah	0	0	5	1	0	2	3	3
778789780645679105	#BB18	0	0	5	0	0	3	3	3
228242467005288448	You, Asian girls with parasols.	0	2	5	1	0	0	3	3
362605091842297858	<USER> I give up, he's too entertaining. Time to follow.	0	0	2	6	0	0	4	4
47091256148504576	<USER> yeah I would - that would be tough to pull off though - but very cool idea! Love SPN!	0	0	1	2	5	0	5	5
201058780744658944	<USER> I wish it didn't have to be week for me to see you. :( let's get bob evans with <USER> &amp; <USER>	0	1	4	3	0	0	3	3
