Tweet ID	Tweet	(1) Very Negative	(2) Negative	(3) Neutral	(4) Positive	(5) Strongly Positive	NA	Majority
623304366007709696	What the hell is wrong with America?? Who in their right mind would send Moises home?? #SYTYCD	4	5	0	0	0	0	2
610536164248956928	WHAT THE FUCK IS THAT RAP THOUGH	4	3	2	0	0	0	2
669771959404728320	Sneak peek of a contribution I'm doing for a kick ass project! #wip #workinprogress #ziggystardust #davidbowie... <URL>	0	0	1	4	4	0	2
565919769044746240	<USER> <USER> that is some cool shit!	0	0	0	5	4	0	4
732217753281662976	So pissed I'm missing work like I could have a sinus infection and STILL do everything I can to work 😩😩 like why do I have an old lady body	2	6	1	0	0	0	2
747086589373857792	What can I do, I'm going through hell getting over you. But it don't hurt, it don't hurt like it used to.	1	6	2	0	0	0	2
576584096446578688	JUST FOUND OUT MY STEP DAD IS MEETING LIL BOOSIE ON SUNDAY AND IM NOT GONNA BE THERE AND IM PISSED	4	5	0	0	0	0	2
197509521810276353	My RA: "I know its not quiet hours but people are complaining." DAMN PEOPLE!	3	5	1	0	0	0	2
102418926473969664	bitches are always worried about the other girl... worry about your man. cuz clearyyy he got you insecure.	1	5	3	0	0	0	2
169086002923700224	To the dude biting his nails while he's taking a piss. #ThatsGross	1	6	1	0	0	0	2
582304658829524992	<USER> the other day I was asked to explain the law of averages to my class. Luckily I had that dick pic you sent! #tfln	1	5	2	0	0	0	2
394282546735116288	O'Halloran never liked Preds. Just told Hendricks to Fuck Off on jumbotron. Reverse that and player gets tossed. Official get nada. <USER>	1	3	4	0	0	0	3
405075565746851840	I never thought my dad hula hooping would be so damn funny!😂😂😂😅😩😫😭😂😂	0	0	0	6	2	0	4
211705894726148097	Still in shock. Hope Pacquiao says "fuck corrupt boxing" and retires. Boxing is dead. #PacBradley	2	6	0	0	0	0	2
287699993463230464	Jackass is officially the dumbest movie I have ever seen. It's even worse than Napoleon Dynamite ... That's hard to do	3	4	1	0	0	0	2
561763585777733632	<USER> <USER> damn, and I thought my punny hashtag was good... 😂😭	0	2	5	1	0	0	3
557788039414837249	<USER> you serious? Pick my ass up	0	5	3	0	0	0	2
718237492533686272	<USER> not your business or affair grow up and quit staetig shit porsha should whoop yo ass again cause she on a talk show dumb ass	6	3	0	0	0	0	1
778781281735806976	The amount of times I've muttered, "Oh, fuck no..." 👀 #AHS6	1	4	4	0	0	0	2
901728822860685312	<USER> <USER> <USER> I think you say shit because you really have nothing to say at all..like this.G… <URL>	0	9	0	0	0	0	2
807083881069420544	<USER> eggplant what the hell	0	7	2	0	0	0	2
919891502544904193	Losing 1-0 in the last 12 seconds sucks ass...	2	7	0	0	0	0	2
208642577954648064	The majority doesn't always rule! I am only into the One True God, and He is Jesus! To try to tell me ne thing else is straight out of hell!	1	2	3	2	1	0	3
564523942719680512	<USER> <USER> Losing only makes you want to win THAT MUCH MORE! <USER> will be experienced &amp; hungry as hell next season!	0	1	4	3	1	0	3
917389830476173312	im just tryna eat a granola bar in my car before class but this shit’s crumbling everywhere😪🙄 i feel like im in a damn avalanche jfc	1	5	2	1	0	0	2
468549718965256193	<USER> where my damn soda?!!	1	8	0	0	0	0	2
376355790174420993	<USER> she really has no reason to lie and come out now! The trial is over! Put the guns away and fight with ur hands pussy.	4	4	0	0	0	0	2
99197493887246336	<USER> twat twat!	4	4	0	0	0	0	2
379419160864112640	<USER> bitch on a leash..#bitch	1	6	0	0	0	1	2
230480077652115459	<USER> I just like being an ass	1	5	1	1	0	0	2
673656862252773377	<USER> damn would have thought someone would have grabbed it right up	2	2	2	2	0	0	2
846163997086777344	<USER> She wasn't quite as annoying, but I still can't stand her or that tired ass wig #RHOA	1	7	0	0	0	0	2
866421226863968256	<USER> <USER> <USER> <USER> <USER> <USER> <USER> <USER> Bruh really damn I'm 17 😂	0	1	6	0	0	1	3
917843695868682241	<USER> Bish ass wtf	1	7	0	0	0	0	2
789856738627510272	Fuck off Burnley..this is like watching FIFA 17. Sit back and hope for a counter.	1	4	2	0	0	1	2
922757219569020928	<USER> I fucking hope not 😳 #ewwww	2	4	2	0	0	0	2
551085579807776768	<USER> we're driving through TN and stopped at a Cracker Barrel for breakfast 😂😂	0	1	5	2	1	0	3
603243787951943680	Bad bitch here, bad bitch there, bad bitches everywhere #BBLU3PoolParty	2	3	4	0	0	0	2
868830151051591681	I think they pissed him off! <URL>	0	6	3	0	0	0	2
235932442911993856	<USER> haha damn grapes I hate when they're dry 😒.	0	7	2	0	0	0	2
388676963914633216	Wow: Hear <USER> powerfully explain how slut shaming becomes victim blaming (via <USER> <URL>	0	8	0	1	0	0	2
59765331832479744	<USER> 1st time really listening to Wiz (aside from B & Y), he's pretty damn good	0	0	0	6	3	0	4
20040183162	<USER> thats what we've been called.nigga means the same to us as wetback would mean to you.	2	6	1	0	0	0	2
459336461922607104	<USER> You, my friend, are a living, breathing, piece of shit (drops mic)	7	2	0	0	0	0	1
345311887090671616	Not a damn thing on tv tonight. I won't be watching NBA finals. Hockey was hot last night. Damn, 5+hrs game! Go Hawks. Maybe a movie 2n	0	4	4	1	0	0	3
511487555963858945	You know I am going thru hell right now in pain losing the ability to use my left arm, not a day goes by that I... <URL>	1	8	0	0	0	0	2
15449458359	<USER> I didn't get that from at all. Do u not like her? She was pretty tame compared to prostitution whore (which was great btw!!)	0	4	2	2	0	0	2
846957162236653569	I try not to get mad at the little stuff but he most definitely just pissed me off.	2	5	1	0	0	0	2
857793140035649537	Not gonna lie, Jabrill Peppers going #25 to Cleveland is bittersweet ... He's a 1st Rd Pick, but damn ... It's the #Browns 😬〽️🏈🐶 #GoBlue!	0	3	3	2	0	0	3
827907545079627777	<USER> I mean I knew someone was gonna die but geez didn't think you were that hell bent on breaking all hearts #VampireDiaries	0	6	2	0	0	0	2
637087982147776512	My mom is pissed cause I'm rolling around on my carpet in defeat instead of packing my shit for school. ¯\_(ツ)_/¯	0	6	2	0	0	0	2
637271718025928708	#NEW "Get ready for one hell of a fast paced crazy ride" #Wrath <USER> <USER> <URL> <URL>	0	1	4	1	1	1	3
299604305827229696	<USER> damn, I'm hungry...where to lunch?” <USER> currently on Dickinson, just off Passyunk	0	1	5	2	0	0	3
906925105317543936	i love the power mv because everyone's like oh shit we're gonna die and jongdae is just there like :3c	0	2	4	2	0	0	3
500139133088854016	I dislike when girls exaggerate the way they walk to make their ass look good	1	6	1	0	0	0	2
332369740322443264	Jodi arias is such a fame whore she just got covicted for murder and then go straight for the camera no remorse she def deserve to fry	5	2	1	0	0	0	1
526580329734103041	<USER> this fucked me up <URL> omg	1	5	2	0	0	0	2
372215327826124801	Some nigga came in my yard the foot steps led to my ashtray lookin for some of my clips nigga huh	0	5	3	0	0	0	2
600482342214336513	Ding dong, the bitch is gone! #TeamViolet #TeamVioletChachki	1	5	0	1	0	1	2
372183545420464128	<USER> <USER> <USER> I agree...Aleks should have backed her up. Kind of a bitch move if you ask me! #BelowDeck	1	6	1	0	0	0	2
146497200921391104	karma is a bitch	0	6	2	0	0	0	2
218178497208782848	"you could be preoccupied different dick every night' Hahahaha <USER> YOU LEGEND! #bestnightever	0	2	2	2	2	0	3
2577792905	<USER> What the hell? Lol ~Renee	0	2	3	3	0	0	3
482565622002241537	The truth may set u free/,but first it's gonna piss me off	0	7	1	0	0	0	2
206606268419407872	#DeadmanWonderland is some scary sh!t ! omg	0	1	2	5	0	0	4
283198476580425728	<USER> damn do we look good or what! #sexyandweknowit	0	0	0	2	6	0	5
912006478835470337	Once again <USER> has shown an #unpresidented ability to piss off many sides.	2	6	0	0	0	0	2
899782384241049604	<USER> <USER> Jersey resting bitch face	4	3	1	0	0	0	1
712285837975748610	Fuck it, say yeah	2	1	3	2	0	0	3
885637919792353288	<USER> Sins of Empire is damn good.Been listening on my commute! I got to it before my Son did!	0	0	0	4	4	0	5
930225884891578368	Guys. What is with all the damn blurry pictures on Tinder? I'm not a selfie fan, but COME ON. If it's going to tak… <URL>	2	5	1	0	0	0	2
659114922299650048	<USER> <USER> <USER> <USER> fuck yea. Boss	1	0	2	3	1	1	3
862544250600337408	Insomnia is a bitch	2	6	0	0	0	0	2
467840016170119169	Some kick ass gold #lespaul guitars and bass <USER> at <USER> <URL>	0	0	4	2	1	0	3
421481055820840960	Seriously considering begging <USER> to come play my wedding. Not like a cheesey wedding reception, but an ass kicking rock show!	0	0	1	4	2	0	4
634789002613125120	<USER> What the hell am I looking at?	0	3	4	0	0	0	3
741487413944586240	<USER> that's why I don't give a fuck what people say...ill cut a bitch	4	3	0	0	0	0	1
917894377686609920	my mom gets pissed at me when i don’t get dismissed at 2:20 with the middle schoolers??? girl, i’m in class???	0	4	3	0	0	0	2
832762537221304322	<USER> nah brah... I'm on that 'tater soft taco shit.	0	0	7	0	0	0	3
550544687765782528	2015 is just gonna be another fucking year of falling more in love with these fools <USER>	1	2	2	2	0	0	3
734584571002560513	<USER> HO YOU BETTER	1	4	0	2	0	0	2
412266791252279296	Bonding at Cracker Barrel <URL>	0	0	1	5	1	0	4
940314339071885314	¡¡¡¡OH HELL YEAH IT'S HERE!!! Treating it delicately and with care <USER> <USER> <USER> <URL>	0	0	2	3	4	0	2
291294478172557312	<USER> listening to that weak ass music who cares	1	8	0	0	0	0	2
934873975263506434	<USER> But he doesnt molest girls, Your pussy groping president wont grope you. Are thy jealous from lack of h… <URL>	5	4	0	0	0	0	1
507580129355116544	<USER> ho ho ho	0	0	7	0	1	1	3
426918313848229888	Being pissed off is better than being pissed on 👍	1	4	3	0	1	0	2
922240121822433280	Racist NFL Kneelers Didnt Know What’s On Every Single One Of Their Helmets – Now They’re PISSED! <URL> via <USER>	4	5	0	0	0	0	2
800568946671947778	Professor: The Purdue Owl Website will assist you greatly in your writing! Purdue Owl Website: *is shit*	1	5	0	2	0	1	2
359170173858611200	<USER> <USER> <USER> buy her another pie bitches love pie #applesbetter	3	1	4	1	0	0	2
741010374225367040	Hell hath no fury like a 3year old that can't find her frozen shoe! #tantrum #frozen	0	5	4	0	0	0	2
824357420096954368	<USER> <USER> the hell you say. Julia all the way.	0	2	4	2	1	0	3
545850418589597696	why does cnn give more of a shit about a stupid movie than kids dying	6	2	1	0	0	0	1
934560537781813249	<USER> <USER> Two of my dogs are racist deadbeats. The third is a gender-fluid attention whore!	3	5	1	0	0	0	2
584224419255488512	This shit hype as hell boa 😂😂😂 <URL>	1	2	4	0	0	2	2
702692235993706496	Moby Dick <URL> <URL>	0	0	7	0	0	2	3
38641679934291968	Omg this bitch has the ugliest nailz...they're like 10 inches long n each hand is a different color...nasty hoe	8	1	0	0	0	0	1
941206123297853440	“Females are strong as hell!” <URL>	0	0	0	3	6	0	5
472480772214226944	<USER> holy shit nice job dude!	0	0	0	2	7	0	5
791474044419780609	<USER> more important than a game 3 start, what the hell happened to the Chive? Disappointing.	1	7	1	0	0	0	2
501000384609931265	Only female pitcher in Negro Leagues history attended Mo’ne Davis' historic LLWS shutout <URL> via <USER>	0	0	6	2	1	0	3
849285106250399744	I&amp;#8217;m Sorry I Was Being So Crazy While You Were Treating Me Like Shit <URL> via <USER>	2	6	0	0	0	0	2
27909069318656000	How to mend a broken teenage daughter's heart?? UGH!!! And how many daughters are left....?? Too many. I'm fucked~	2	5	0	0	0	1	2
856276398532677632	<USER> FUCK THIS. I JUST NEED THE WOLF AMONG US 2	4	3	0	1	0	0	1
915218454059380736	<USER> Mr. Jennings fuckin' smoked the last remaining bastion of reverence for knowledge and learning in America, so......respect.	1	3	1	3	0	0	3
816264367650050048	Oh so good. That blood testing scene is tense as fuck! <URL>	0	4	0	4	0	0	4
6625547378	Come on sandman! Where the hell are you??	1	5	2	0	0	0	2
938473837968150528	<USER> This Jerusalem thing is literally going to get people killed and he doesn't give a shit.	4	3	1	0	0	0	1
930630541233328130	those fanchants holy fuck <URL>	1	3	2	2	0	0	3
428965509770379264	twitter is acting like a assclown 2day 4 me...grrrr assclown is always fun 2 say :D	1	4	3	0	0	0	2
940646183046959105	<USER> I had a student write a great essay this semester that basically concluded kids hate that shit because… <URL>	0	4	2	2	0	0	2
272891204662878208	<USER> "Bitch!" "What?!" "Oh good, you know your name".” <USER> hahaha #bface #knowyourname	1	4	2	1	0	0	2
659861801064988672	<USER> <USER> he sure as hell ain't taking the job for $1M less/yr either.	0	4	2	2	0	0	2
694863047484112896	Holy shit it's nice outside.	0	1	0	5	2	0	4
596101171619581953	<USER> u is a straight pussy ass nigga just run &amp; hide fuck boy	5	2	1	0	0	0	1
617165008473038850	<USER> Thx for getting me in trouble w/your "been thinking about you" gishmail! My husband wanted to know who the hell Misha was!	3	3	2	0	0	0	2
944084586883141632	damn we gotta wait til 2020 :/ <URL>	0	6	2	0	0	0	2
207830149876563971	I just dont understand how the fuck you can just eat someone's face.. shit.is unreal	1	6	1	0	0	0	2
576363904374308864	<USER> I said I wanna see a how high 2, he said "shit, me too"	0	1	5	1	0	1	3
719001641005948928	<USER> out fucking standing! Beautiful ride	0	0	0	2	7	0	5
665530639123357696	One powerful response to the terror in Paris... {words} and ::wonder: this is hell, but we are heaven. <URL> #ParisAttacks	0	3	2	2	2	0	3
921467082839085056	<USER> i heard ur hands are small and also that u dont know shit about area 51	0	7	2	0	0	0	2
258380440531005440	<USER> #Debate #romneyforpresident Obama you are just pissed off that you didn't think of it first	0	6	2	1	0	0	2
934598472124084225	<USER> Bull shit. Fake news. X marks the fucking #CHEMtrail spot. Ice, contrails don’t last a friggin minute you… <URL>	3	5	1	0	0	0	2
701260397492494336	#Breaking: <USER> confirms shooting at Cracker Barrel in Oshtemo. He says may be connected to Meadow Townhomes shooting. <USER>	2	1	6	0	0	0	3
326477223571910656	Definitely digging Archer in his Father Guido Sarducci getup. <URL>	0	1	1	7	0	0	4
420408578315268096	<USER> <USER> FDB!". Hell yesss!!	0	0	0	4	5	0	5
486608207180087296	Hell Portugal put up a better fight against Germany	0	3	4	1	0	0	3
713907769485692930	<USER> go fuck yourself.	7	1	0	0	0	0	1
875177767679250432	I still haven't recovered from the Black Panther teaser trailer. Hot damn. 😍	0	0	3	2	3	0	2
179666046112907265	<USER> hell yeah!	0	0	0	2	6	0	5
532238479594233856	can i get a hell yeah?! <URL>	0	0	1	2	5	0	5
438007559018934272	All these bitches on my dick but I think I need more	2	0	4	0	1	1	3
144137815612076032	<USER> I'm sick. Tard	0	7	1	0	0	0	2
725335202298511362	'Resting bitch face' is real, scientists say - Good news, everyone! You can now wear your mildly discontented f... <URL>	0	4	4	0	0	0	3
453484839602499584	Life lessons 2048 has taught me: Even if you fuck up, there is still hope for you.	0	0	3	3	2	0	3
673643000787021825	<USER> here's an idea: fuck off	4	4	0	0	0	0	2
541916261916360704	<USER> go fuck yourself	7	0	0	0	0	0	1
428710303283810304	miley was stompin the hell outta them roaches huntee.	0	1	1	5	0	0	4
587456761952604160	He's on the ground DYING: “I’m losing my breath" &amp; cop says “fuck your breath.” Disgusting. #blacklivesmatter #anp436 <URL>	6	1	0	0	0	0	1
270936105170382848	Alright! What jackass starts counting calories 2 days before Thxgiving? This guy! So sick of feeling sluggish. #EasyOnTheStuffing	3	3	0	0	1	0	2
704010013832904704	I'm a spiteful bitch when you wake me up with bullshit.	6	1	0	0	0	0	1
185097240451366913	Just the most shit day.	4	3	0	0	0	0	1
157556507356053504	I'm tweeting again bitches!	0	2	1	2	2	0	3
533075796328722434	<USER> <USER> <USER> HOOK NOSE JEW BASTARD	7	0	0	0	0	0	1
501186738300403712	<USER> watching you fuck some people up in #TheCemetery...ha!	0	2	2	3	0	0	3
638840612498862080	Why do I always end up sick when I have so much shit to get done? 😕	2	7	0	0	0	0	2
619717103394889728	I wish it was that easy, nigga would be happy everyday 😂	1	3	3	2	0	0	3
896240911537111040	#ATLMansionPoolParty AUGUST 20TH RENTED A LIT ASS MANSION🔥🔥 - INDOOR &amp; OUTDOOR EVENT - FREE FOOD - OPEN BAR😜 <URL> x2	0	1	2	3	3	0	3
829390899398529035	Eleven's back and her hair is pissed! #StrangerThings <USER> <URL>	0	3	4	1	1	0	3
152915262184759296	Why do people act like cuz the calendar year changes ..life starts over? Lol all the shit you did in 2011 will continue in 2012!	0	4	3	2	0	0	3
208577735239548928	Fuck staying in Alabama. Done with this shit.	6	3	0	0	0	0	1
856923037290995712	<USER> Also if they're not space fuckin what do you call this <URL>	1	4	4	0	0	0	2
889223545301106690	My Cat From Heaven: Rosie the Cat and Lilo the Dog - My Cat From Hell - <URL> #	0	1	7	0	0	0	3
563769925559255040	Fuck semester-long group projects for real.	5	3	0	0	0	0	1
552618847954415616	First day. Talking in Book of Mormon and a girl tells the teacher that Laman and Lemuel were "such dicks"... Mmk... <USER>	1	4	3	0	0	0	2
13623876885	Nice parking job, A-hole. [target parking lot...with open spots around it] #fb <URL>	5	3	0	0	0	0	1
31194728598863872	<USER> What the fuck do you want!?	5	3	0	0	0	0	1
871978153001967617	Fuck, this Jeffries scene is always the best.	0	1	1	3	3	0	2
727554211974508544	Fuck <URL>	0	4	4	0	0	0	3
455059566271528960	Damn. My PS3 died. It freezes with the green LED turned on. No connection to the controller and no A/V signal. :(	1	7	0	0	0	0	2
111127418344972288	Damn!! Overnight it went from hot and humid with shorts and a tank top to cold & freezing with sweats and a hoodie!! Whatz up with that?	0	6	2	0	0	0	2
927207137067126784	Criticism of cishet girls can be important, but I also worry about people taking advantage of it to be sexist/racist twats.	1	2	4	1	0	0	3
666087559517356032	Oh hell no they didn't just do that to Daryl. No one touches his motorcycle. #walkingdead	1	4	3	0	0	0	2
524925592928391168	Santa Christmas Timer This quirky timer counts up to 60 minutes and says, "Ho, ho, ho!" when time is up. Wipe... <URL>	0	1	2	4	0	1	4
478703221960359937	<USER> I usually don't look at my timeline for fear of getting pissed off lol	0	4	3	1	0	0	2
542592058859327488	<USER> So glad I was able to make it to see your Thank God for Jokes Tour tonight in Turlock. So hilarious! I laughed my ass off!	0	0	0	2	6	0	5
183614309643976704	I wish <USER> would stop calling me a total fucking lesbian cause he's jealous of my friendship with <USER> #HattazGonnaHat	4	3	1	0	0	0	1
717539790652964864	Actually get to watch #NCIS but also know I'm gonna be sad all over again. 1 less new <USER> ep. Damn you Weatherly! #loveyou	1	3	1	3	0	0	3
706586988338515969	<USER> His "concern" is just bullshit clickbait. He knows nothing about Harry.	0	7	1	0	0	0	2
557009039566340098	In other news, human beings actually fucking suck.	3	4	1	0	0	0	2
40259753414377472	<USER> well i fucked up on that minecraft video”what is minecraft	0	7	1	0	0	0	2
618579590982815744	I was literally in the worst mood all day until I was w my baby now I'm back to a shitty ass mood 😒	2	4	1	1	0	0	2
862894836243873793	I understand her loneliness entirely and I think it's why I try so hard to keep people around. No matter how shitty they treat me.	0	5	3	0	0	0	2
683433309351751680	<USER> Listening to your music at full blast is making me feel better after a shitty day!!!!!!!!! Neighbors can F*** it!!!!!!!!!!!!!!!	2	2	1	1	2	0	3
935650210121961472	<USER> if it's how he takes care of everything else we r all fucked	2	5	1	0	0	0	2
5412583039	i want to cry and puke. im pissed and im heartbroken that we'd take away rights like this. there's still hope but i'm worried for #votenoon1	4	3	1	0	0	0	1
389435972209102848	<USER> sad 4 some1 u care about 2 engage w/ a crazy person talking shit about u. U defended that person when that happened MONTHS ago	2	4	2	0	0	0	2
456694976122875904	<USER> I hate my iPhone Siri don't listen well I wanted to tell people about a new app and she put "Ask me about my new ass" on My FB	1	4	3	0	0	0	2
784595897606897665	Guy in haunted house: "It's a long way to hell." Me: "Jesus is my Lord and Saviour, sir. I'm going to heaven."	0	0	2	4	2	0	4
550310469383512066	Can someone please tell me what the fuck an "eno" is ¿!!	2	0	6	0	0	0	3
286138929831366656	Happy 2013. Looks like I'm starting the new year out with a big ass hangover! 🌀🌀🌀🎉🎉🎉🎉🎉🎉	0	5	2	1	0	0	2
403664856349278208	<USER> omg, only in the fucking usa is right! they put an innocent 17 yr old boy in prison for life but let a child molester free!	6	3	0	0	0	0	1
914550735748071424	lmao <USER> articles about "tweeting about issues don't help! stupid millennials!" like he doesn't tweet all the fucking time instead of helping	6	3	0	0	0	0	1
627583033017802753	Black interior + summer is a combination straight from hell	1	6	2	0	0	0	2
783399582268989440	Mike Pence Mocks Media Coverage of Trump: 'This Sh*t Really Is Fun to Watch' - Breitbart <URL> via <USER>	1	2	3	3	0	0	3
829019728224145408	what the hell	0	3	5	0	0	1	3
836559692914651136	This jackass is more ridiculous every day. <URL>	1	8	0	0	0	0	2
518946250461548544	#fiftyshades of fucked up. <USER> 💋👔💖🚁 #CharlieTango #RedRoomofPain 💥	3	4	2	0	0	0	2
285271966758346752	quit talking out of your ass with that bullshit	6	3	0	0	0	0	1
442808688500166656	Fuck you !	8	1	0	0	0	0	1
713165712026701825	Man I'M higher than a tree live my life like a fucking g	0	0	1	4	4	0	2
345322790737559553	Holy shit titties batman	0	2	4	2	1	0	3
923726254867705856	47 needs to be kicked the hell out	2	5	1	1	0	0	2
622419878545264640	Temecula thunderstorm early in the morning and I woke up to it thinking it was a neighbor being an ass moving their trashcans back and forth	1	4	3	0	1	0	2
463001205938352128	<USER> <USER> Man Club Penguin is gonna be PISSED.	1	2	6	0	0	0	3
351812885653110784	These are fucking <USER> Five updated helmet designs debuted for the 2013 season! #rockchalk <URL>	1	1	3	4	0	0	3
425872737114923008	<USER> <USER> You should just be hired as a story consultant ...Dick Wolf ...are you out there?	0	1	5	3	0	0	3
280468814934708224	Cracker Barrel | Pick It To Win It <URL>	0	0	4	3	2	0	3
862837160273219584	stfu no. I didn't survive through 13 seasons of hell in this hospital for this shit. <URL>	5	3	0	1	0	0	1
499361508862996481	<USER> your just another whore who couldn't be happy with your one man! Be a doctor not a slut, or maybe a tattoo artist not a whore	6	1	1	0	0	0	1
489625701335990272	Hahaha that was karma biting you in the ass 😆	1	6	1	0	0	0	2
361839056637792257	real talk, i am depressed as hell to be leaving vb right now.	2	5	1	0	0	0	2
727188641538281472	And to think, in 5 short days the dumbass with the lighter is graduating from MSU with honors 🤔 <USER> <URL>	2	2	2	2	0	0	2
420060227505905664	My house is making some scary ass noises right now.	0	7	1	0	0	0	2
201044743881375745	<USER> fuck	2	4	2	0	0	0	2
